,label,email,length,body_text_clean,body_text_tokenized,body_text_nonstop,body_text_stemmed,body_text_lemmatized,body_text_length,body_text_clean_length,num_characters,num_words,num_sentences
10,ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",109,Im gonna be home soon and i dont want to talk about this stuff anymore tonight k Ive cried enough today,"['Im', 'gonna', 'be', 'home', 'soon', 'and', 'i', 'dont', 'want', 'to', 'talk', 'about', 'this', 'stuff', 'anymore', 'tonight', 'k', 'Ive', 'cried', 'enough', 'today']","['Im', 'gonna', 'home', 'soon', 'dont', 'want', 'talk', 'stuff', 'anymore', 'tonight', 'k', 'Ive', 'cried', 'enough', 'today']","['im', 'gonna', 'home', 'soon', 'dont', 'want', 'talk', 'stuff', 'anymor', 'tonight', 'k', 'ive', 'cri', 'enough', 'today']","['im', 'gonna', 'home', 'soon', 'dont', 'want', 'talk', 'stuff', 'anymor', 'tonight', 'k', 'ive', 'cri', 'enough', 'today']",109,103,109,28,2
11,spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",136,SIX chances to win CASH From 100 to 20000 pounds txt CSH11 and send to 87575 Cost 150pday 6days 16 TsandCs apply Reply HL 4 info,"['SIX', 'chances', 'to', 'win', 'CASH', 'From', '100', 'to', '20000', 'pounds', 'txt', 'CSH11', 'and', 'send', 'to', '87575', 'Cost', '150pday', '6days', '16', 'TsandCs', 'apply', 'Reply', 'HL', '4', 'info']","['SIX', 'chances', 'win', 'CASH', 'From', '100', '20000', 'pounds', 'txt', 'CSH11', 'send', '87575', 'Cost', '150pday', '6days', '16', 'TsandCs', 'apply', 'Reply', 'HL', '4', 'info']","['six', 'chanc', 'win', 'cash', 'from', '100', '20000', 'pound', 'txt', 'csh11', 'send', '87575', 'cost', '150pday', '6day', '16', 'tsandc', 'appli', 'repli', 'hl', '4', 'info']","['six', 'chanc', 'win', 'cash', 'from', '100', '20000', 'pound', 'txt', 'csh11', 'send', '87575', 'cost', '150pday', '6day', '16', 'tsandc', 'appli', 'repli', 'hl', '4', 'info']",136,128,136,31,3
12,spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",156,URGENT You have won a 1 week FREE membership in our å£100000 Prize Jackpot Txt the word CLAIM to No 81010 TC wwwdbuknet LCCLTD POBOX 4403LDNW1A7RW18,"['URGENT', 'You', 'have', 'won', 'a', '1', 'week', 'FREE', 'membership', 'in', 'our', 'å', '100000', 'Prize', 'Jackpot', 'Txt', 'the', 'word', 'CLAIM', 'to', 'No', '81010', 'TC', 'wwwdbuknet', 'LCCLTD', 'POBOX', '4403LDNW1A7RW18']","['URGENT', 'You', '1', 'week', 'FREE', 'membership', 'å', '100000', 'Prize', 'Jackpot', 'Txt', 'word', 'CLAIM', 'No', '81010', 'TC', 'wwwdbuknet', 'LCCLTD', 'POBOX', '4403LDNW1A7RW18']","['urgent', 'you', '1', 'week', 'free', 'membership', 'å', '100000', 'prize', 'jackpot', 'txt', 'word', 'claim', 'no', '81010', 'tc', 'wwwdbuknet', 'lccltd', 'pobox', '4403ldnw1a7rw18']","['urgent', 'you', '1', 'week', 'free', 'membership', 'å', '100000', 'prize', 'jackpot', 'txt', 'word', 'claim', 'no', '81010', 'tc', 'wwwdbuknet', 'lccltd', 'pobox', '4403ldnw1a7rw18']",156,148,156,32,3
13,ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,196,Ive been searching for the right words to thank you for this breather I promise i wont take your help for granted and will fulfil my promise You have been wonderful and a blessing at all times,"['Ive', 'been', 'searching', 'for', 'the', 'right', 'words', 'to', 'thank', 'you', 'for', 'this', 'breather', 'I', 'promise', 'i', 'wont', 'take', 'your', 'help', 'for', 'granted', 'and', 'will', 'fulfil', 'my', 'promise', 'You', 'have', 'been', 'wonderful', 'and', 'a', 'blessing', 'at', 'all', 'times']","['Ive', 'searching', 'right', 'words', 'thank', 'breather', 'I', 'promise', 'wont', 'take', 'help', 'granted', 'fulfil', 'promise', 'You', 'wonderful', 'blessing', 'times']","['ive', 'search', 'right', 'word', 'thank', 'breather', 'i', 'promis', 'wont', 'take', 'help', 'grant', 'fulfil', 'promis', 'you', 'wonder', 'bless', 'time']","['ive', 'search', 'right', 'word', 'thank', 'breather', 'i', 'promis', 'wont', 'take', 'help', 'grant', 'fulfil', 'promis', 'you', 'wonder', 'bless', 'time']",196,192,196,41,3
14,ham,I HAVE A DATE ON SUNDAY WITH WILL!!,35,I HAVE A DATE ON SUNDAY WITH WILL,"['I', 'HAVE', 'A', 'DATE', 'ON', 'SUNDAY', 'WITH', 'WILL']","['I', 'HAVE', 'A', 'DATE', 'ON', 'SUNDAY', 'WITH', 'WILL']","['i', 'have', 'a', 'date', 'on', 'sunday', 'with', 'will']","['i', 'have', 'a', 'date', 'on', 'sunday', 'with', 'will']",35,33,35,10,2
15,spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",149,XXXMobileMovieClub To use your credit click the WAP link in the next txt message or click here httpwap xxxmobilemovieclubcomnQJKGIGHJJGCBL,"['XXXMobileMovieClub', 'To', 'use', 'your', 'credit', 'click', 'the', 'WAP', 'link', 'in', 'the', 'next', 'txt', 'message', 'or', 'click', 'here', 'httpwap', 'xxxmobilemovieclubcomnQJKGIGHJJGCBL']","['XXXMobileMovieClub', 'To', 'use', 'credit', 'click', 'WAP', 'link', 'next', 'txt', 'message', 'click', 'httpwap', 'xxxmobilemovieclubcomnQJKGIGHJJGCBL']","['xxxmobilemovieclub', 'to', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'messag', 'click', 'httpwap', 'xxxmobilemovieclubcomnqjkgighjjgcbl']","['xxxmobilemovieclub', 'to', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'messag', 'click', 'httpwap', 'xxxmobilemovieclubcomnqjkgighjjgcbl']",149,138,149,28,2
16,ham,Oh k...i'm watching here:),26,Oh kim watching here,"['Oh', 'kim', 'watching', 'here']","['Oh', 'kim', 'watching']","['oh', 'kim', 'watch']","['oh', 'kim', 'watch']",26,20,26,9,1
17,ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,81,Eh u remember how 2 spell his name Yes i did He v naughty make until i v wet,"['Eh', 'u', 'remember', 'how', '2', 'spell', 'his', 'name', 'Yes', 'i', 'did', 'He', 'v', 'naughty', 'make', 'until', 'i', 'v', 'wet']","['Eh', 'u', 'remember', '2', 'spell', 'name', 'Yes', 'He', 'v', 'naughty', 'make', 'v', 'wet']","['eh', 'u', 'rememb', '2', 'spell', 'name', 'ye', 'he', 'v', 'naughti', 'make', 'v', 'wet']","['eh', 'u', 'rememb', '2', 'spell', 'name', 'ye', 'he', 'v', 'naughti', 'make', 'v', 'wet']",81,76,81,22,3
18,ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,58,Fine if thatåÕs the way u feel ThatåÕs the way its gota b,"['Fine', 'if', 'thatåÕs', 'the', 'way', 'u', 'feel', 'ThatåÕs', 'the', 'way', 'its', 'gota', 'b']","['Fine', 'thatåÕs', 'way', 'u', 'feel', 'ThatåÕs', 'way', 'gota', 'b']","['fine', 'thatåõ', 'way', 'u', 'feel', 'thatåõ', 'way', 'gota', 'b']","['fine', 'thatåõ', 'way', 'u', 'feel', 'thatåõ', 'way', 'gota', 'b']",58,57,58,14,2
19,spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",156,England v Macedonia  dont miss the goalsteam news Txt ur national team to 87077 eg ENGLAND to 87077 TryWALES SCOTLAND 4txtÌ¼120 POBOXox36504W45WQ 16,"['England', 'v', 'Macedonia', 'dont', 'miss', 'the', 'goalsteam', 'news', 'Txt', 'ur', 'national', 'team', 'to', '87077', 'eg', 'ENGLAND', 'to', '87077', 'TryWALES', 'SCOTLAND', '4txtÌ¼120', 'POBOXox36504W45WQ', '16']","['England', 'v', 'Macedonia', 'dont', 'miss', 'goalsteam', 'news', 'Txt', 'ur', 'national', 'team', '87077', 'eg', 'ENGLAND', '87077', 'TryWALES', 'SCOTLAND', '4txtÌ¼120', 'POBOXox36504W45WQ', '16']","['england', 'v', 'macedonia', 'dont', 'miss', 'goalsteam', 'news', 'txt', 'ur', 'nation', 'team', '87077', 'eg', 'england', '87077', 'trywal', 'scotland', '4txtì¼120', 'poboxox36504w45wq', '16']","['england', 'v', 'macedonia', 'dont', 'miss', 'goalsteam', 'news', 'txt', 'ur', 'nation', 'team', '87077', 'eg', 'england', '87077', 'trywal', 'scotland', '4txtì¼120', 'poboxox36504w45wq', '16']",156,148,156,28,2
20,ham,Is that seriously how you spell his name?,41,Is that seriously how you spell his name,"['Is', 'that', 'seriously', 'how', 'you', 'spell', 'his', 'name']","['Is', 'seriously', 'spell', 'name']","['is', 'serious', 'spell', 'name']","['is', 'serious', 'spell', 'name']",41,40,41,9,1
21,ham,IÛ÷m going to try for 2 months ha ha only joking,49,IÛ÷m going to try for 2 months ha ha only joking,"['I', 'Û', 'm', 'going', 'to', 'try', 'for', '2', 'months', 'ha', 'ha', 'only', 'joking']","['I', 'Û', 'going', 'try', '2', 'months', 'ha', 'ha', 'joking']","['i', 'û', 'go', 'tri', '2', 'month', 'ha', 'ha', 'joke']","['i', 'û', 'go', 'tri', '2', 'month', 'ha', 'ha', 'joke']",49,49,49,11,1
22,ham,So Ì_ pay first lar... Then when is da stock comin...,53,So Ì pay first lar Then when is da stock comin,"['So', 'Ì', 'pay', 'first', 'lar', 'Then', 'when', 'is', 'da', 'stock', 'comin']","['So', 'Ì', 'pay', 'first', 'lar', 'Then', 'da', 'stock', 'comin']","['so', 'ì', 'pay', 'first', 'lar', 'then', 'da', 'stock', 'comin']","['so', 'ì', 'pay', 'first', 'lar', 'then', 'da', 'stock', 'comin']",53,46,53,13,1
23,ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,88,Aft i finish my lunch then i go str down lor Ard 3 smth lor U finish ur lunch already,"['Aft', 'i', 'finish', 'my', 'lunch', 'then', 'i', 'go', 'str', 'down', 'lor', 'Ard', '3', 'smth', 'lor', 'U', 'finish', 'ur', 'lunch', 'already']","['Aft', 'finish', 'lunch', 'go', 'str', 'lor', 'Ard', '3', 'smth', 'lor', 'U', 'finish', 'ur', 'lunch', 'already']","['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', '3', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'alreadi']","['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', '3', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'alreadi']",88,85,88,23,3
24,ham,Ffffffffff. Alright no way I can meet up with you sooner?,57,Ffffffffff Alright no way I can meet up with you sooner,"['Ffffffffff', 'Alright', 'no', 'way', 'I', 'can', 'meet', 'up', 'with', 'you', 'sooner']","['Ffffffffff', 'Alright', 'way', 'I', 'meet', 'sooner']","['ffffffffff', 'alright', 'way', 'i', 'meet', 'sooner']","['ffffffffff', 'alright', 'way', 'i', 'meet', 'sooner']",57,55,57,13,2
25,ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,144,Just forced myself to eat a slice Im really not hungry tho This sucks Mark is getting worried He knows Im sick when I turn down pizza Lol,"['Just', 'forced', 'myself', 'to', 'eat', 'a', 'slice', 'Im', 'really', 'not', 'hungry', 'tho', 'This', 'sucks', 'Mark', 'is', 'getting', 'worried', 'He', 'knows', 'Im', 'sick', 'when', 'I', 'turn', 'down', 'pizza', 'Lol']","['Just', 'forced', 'eat', 'slice', 'Im', 'really', 'hungry', 'tho', 'This', 'sucks', 'Mark', 'getting', 'worried', 'He', 'knows', 'Im', 'sick', 'I', 'turn', 'pizza', 'Lol']","['just', 'forc', 'eat', 'slice', 'im', 'realli', 'hungri', 'tho', 'thi', 'suck', 'mark', 'get', 'worri', 'he', 'know', 'im', 'sick', 'i', 'turn', 'pizza', 'lol']","['just', 'forc', 'eat', 'slice', 'im', 'realli', 'hungri', 'tho', 'thi', 'suck', 'mark', 'get', 'worri', 'he', 'know', 'im', 'sick', 'i', 'turn', 'pizza', 'lol']",144,137,144,35,6
26,ham,Lol your always so convincing.,30,Lol your always so convincing,"['Lol', 'your', 'always', 'so', 'convincing']","['Lol', 'always', 'convincing']","['lol', 'alway', 'convinc']","['lol', 'alway', 'convinc']",30,29,30,6,1
27,ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,134,Did you catch the bus  Are you frying an egg  Did you make a tea Are you eating your moms left over dinner  Do you feel my Love ,"['Did', 'you', 'catch', 'the', 'bus', 'Are', 'you', 'frying', 'an', 'egg', 'Did', 'you', 'make', 'a', 'tea', 'Are', 'you', 'eating', 'your', 'moms', 'left', 'over', 'dinner', 'Do', 'you', 'feel', 'my', 'Love', '']","['Did', 'catch', 'bus', 'Are', 'frying', 'egg', 'Did', 'make', 'tea', 'Are', 'eating', 'moms', 'left', 'dinner', 'Do', 'feel', 'Love', '']","['did', 'catch', 'bu', 'are', 'fri', 'egg', 'did', 'make', 'tea', 'are', 'eat', 'mom', 'left', 'dinner', 'do', 'feel', 'love', '']","['did', 'catch', 'bu', 'are', 'fri', 'egg', 'did', 'make', 'tea', 'are', 'eat', 'mom', 'left', 'dinner', 'do', 'feel', 'love', '']",134,128,134,34,5
28,ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",75,Im back amp were packing the car now Ill let you know if theres room,"['Im', 'back', 'amp', 'were', 'packing', 'the', 'car', 'now', 'Ill', 'let', 'you', 'know', 'if', 'theres', 'room']","['Im', 'back', 'amp', 'packing', 'car', 'Ill', 'let', 'know', 'theres', 'room']","['im', 'back', 'amp', 'pack', 'car', 'ill', 'let', 'know', 'there', 'room']","['im', 'back', 'amp', 'pack', 'car', 'ill', 'let', 'know', 'there', 'room']",75,68,75,22,1
29,ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,64,Ahhh Work I vaguely remember that What does it feel like Lol,"['Ahhh', 'Work', 'I', 'vaguely', 'remember', 'that', 'What', 'does', 'it', 'feel', 'like', 'Lol']","['Ahhh', 'Work', 'I', 'vaguely', 'remember', 'What', 'feel', 'like', 'Lol']","['ahhh', 'work', 'i', 'vagu', 'rememb', 'what', 'feel', 'like', 'lol']","['ahhh', 'work', 'i', 'vagu', 'rememb', 'what', 'feel', 'like', 'lol']",64,60,64,16,5
30,ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",130,Wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us,"['Wait', 'thats', 'still', 'not', 'all', 'that', 'clear', 'were', 'you', 'not', 'sure', 'about', 'me', 'being', 'sarcastic', 'or', 'that', 'thats', 'why', 'x', 'doesnt', 'want', 'to', 'live', 'with', 'us']","['Wait', 'thats', 'still', 'clear', 'sure', 'sarcastic', 'thats', 'x', 'doesnt', 'want', 'live', 'us']","['wait', 'that', 'still', 'clear', 'sure', 'sarcast', 'that', 'x', 'doesnt', 'want', 'live', 'us']","['wait', 'that', 'still', 'clear', 'sure', 'sarcast', 'that', 'x', 'doesnt', 'want', 'live', 'u']",130,126,130,30,1
31,ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,189,Yeah he got in at 2 and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that Till 2 But we wont go there Not doing too badly cheers You ,"['Yeah', 'he', 'got', 'in', 'at', '2', 'and', 'was', 'v', 'apologetic', 'n', 'had', 'fallen', 'out', 'and', 'she', 'was', 'actin', 'like', 'spoilt', 'child', 'and', 'he', 'got', 'caught', 'up', 'in', 'that', 'Till', '2', 'But', 'we', 'wont', 'go', 'there', 'Not', 'doing', 'too', 'badly', 'cheers', 'You', '']","['Yeah', 'got', '2', 'v', 'apologetic', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'Till', '2', 'But', 'wont', 'go', 'Not', 'badly', 'cheers', 'You', '']","['yeah', 'got', '2', 'v', 'apologet', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', '2', 'but', 'wont', 'go', 'not', 'badli', 'cheer', 'you', '']","['yeah', 'got', '2', 'v', 'apologet', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', '2', 'but', 'wont', 'go', 'not', 'badli', 'cheer', 'you', '']",189,182,189,48,6
32,ham,K tell me anything about you.,29,K tell me anything about you,"['K', 'tell', 'me', 'anything', 'about', 'you']","['K', 'tell', 'anything']","['k', 'tell', 'anyth']","['k', 'tell', 'anyth']",29,28,29,7,1
33,ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,84,For fear of fainting with the of all that housework you just did Quick have a cuppa,"['For', 'fear', 'of', 'fainting', 'with', 'the', 'of', 'all', 'that', 'housework', 'you', 'just', 'did', 'Quick', 'have', 'a', 'cuppa']","['For', 'fear', 'fainting', 'housework', 'Quick', 'cuppa']","['for', 'fear', 'faint', 'housework', 'quick', 'cuppa']","['for', 'fear', 'faint', 'housework', 'quick', 'cuppa']",84,83,84,18,2
34,spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,159,Thanks for your subscription to Ringtone UK your mobile will be charged å£5month Please confirm by replying YES or NO If you reply NO you will not be charged,"['Thanks', 'for', 'your', 'subscription', 'to', 'Ringtone', 'UK', 'your', 'mobile', 'will', 'be', 'charged', 'å', '5month', 'Please', 'confirm', 'by', 'replying', 'YES', 'or', 'NO', 'If', 'you', 'reply', 'NO', 'you', 'will', 'not', 'be', 'charged']","['Thanks', 'subscription', 'Ringtone', 'UK', 'mobile', 'charged', 'å', '5month', 'Please', 'confirm', 'replying', 'YES', 'NO', 'If', 'reply', 'NO', 'charged']","['thank', 'subscript', 'rington', 'uk', 'mobil', 'charg', 'å', '5month', 'pleas', 'confirm', 'repli', 'ye', 'no', 'if', 'repli', 'no', 'charg']","['thank', 'subscript', 'rington', 'uk', 'mobil', 'charg', 'å', '5month', 'plea', 'confirm', 'repli', 'ye', 'no', 'if', 'repli', 'no', 'charg']",159,157,159,30,2
